Children's Hospital,Payer,Discharges,Days,Year,Color
ADVENTHEALTH ORLANDO,Workers' Compensation,9,25,2017,"rgba(195, 214, 155, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Medicare FFS,3,25,2016,"rgba(85, 142, 213, 1.0)"
ST MARY'S MEDICAL CENTER,Medicare FFS,5,25,2020,"rgba(16, 37, 63, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Medicare Managed Care,5,25,2018,"rgba(55, 96, 146, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicare FFS,6,24,2017,"rgba(204, 193, 218, 1.0)"
ST JOSEPHS HOSPITAL,Medicare FFS,4,24,2016,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL,Other,6,24,2017,"rgba(85, 142, 213, 1.0)"
ADVENTHEALTH ORLANDO,Commercial Liability,10,23,2019,"rgba(195, 214, 155, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Workers' Compensation,5,23,2016,"rgba(147, 205, 221, 1.0)"
ADVENTHEALTH ORLANDO,Commercial Liability,8,22,2018,"rgba(195, 214, 155, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicare FFS,4,22,2018,"rgba(228, 108, 10, 1.0)"
ST JOSEPHS HOSPITAL,Veterans Affairs,7,22,2017,"rgba(85, 142, 213, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Medicare FFS,12,22,2019,"rgba(152, 72, 7, 1.0)"
UF HEALTH SHANDS HOSPITAL,Workers' Compensation,6,21,2017,"rgba(55, 96, 146, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicare FFS,6,20,2018,"rgba(204, 193, 218, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicare FFS,6,20,2019,"rgba(152, 72, 7, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Non-Payment,6,20,2016,"rgba(228, 108, 10, 1.0)"
ST JOSEPHS HOSPITAL,Veterans Affairs,10,20,2016,"rgba(85, 142, 213, 1.0)"
ST MARY'S MEDICAL CENTER,Workers' Compensation,2,20,2018,"rgba(16, 37, 63, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Veterans Affairs,4,20,2016,"rgba(55, 96, 146, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicare FFS,5,19,2020,"rgba(152, 72, 7, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicare FFS,2,19,2016,"rgba(228, 108, 10, 1.0)"
ST JOSEPHS HOSPITAL,Workers' Compensation,4,19,2016,"rgba(85, 142, 213, 1.0)"
TAMPA GENERAL HOSPITAL,Veterans Affairs,7,19,2017,"rgba(89, 89, 89, 1.0)"
UF HEALTH SHANDS HOSPITAL,Veterans Affairs,8,19,2019,"rgba(55, 96, 146, 1.0)"
ADVENTHEALTH ORLANDO,Commercial Liability,11,18,2017,"rgba(195, 214, 155, 1.0)"
ADVENTHEALTH ORLANDO,Non-Payment,1,18,2017,"rgba(195, 214, 155, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Veterans Affairs,8,18,2017,"rgba(204, 193, 218, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Other,2,18,2017,"rgba(152, 72, 7, 1.0)"
LEE MEMORIAL HOSPITAL,Workers' Compensation,3,18,2016,"rgba(33, 89, 104, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,Medicaid FFS,10,18,2017,"rgba(185, 205, 229, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Medicare FFS,1,18,2018,"rgba(85, 142, 213, 1.0)"
TAMPA GENERAL HOSPITAL,Workers' Compensation,6,18,2019,"rgba(89, 89, 89, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicare Managed Care,8,17,2016,"rgba(74, 69, 42, 1.0)"
JACKSON MEMORIAL HOSPITAL,Veterans Affairs,6,17,2020,"rgba(74, 69, 42, 1.0)"
LEE MEMORIAL HOSPITAL,Workers' Compensation,4,17,2017,"rgba(33, 89, 104, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,Medicaid FFS,10,17,2016,"rgba(185, 205, 229, 1.0)"
ST JOSEPHS HOSPITAL,Workers' Compensation,5,17,2018,"rgba(85, 142, 213, 1.0)"
ADVENTHEALTH ORLANDO,Non-Payment,6,16,2016,"rgba(195, 214, 155, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicare Managed Care,7,16,2016,"rgba(79, 98, 40, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicare Managed Care,7,16,2017,"rgba(79, 98, 40, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Non-Payment,9,16,2018,"rgba(204, 193, 218, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicare FFS,2,16,2020,"rgba(228, 108, 10, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Other,5,16,2020,"rgba(228, 108, 10, 1.0)"
LEE MEMORIAL HOSPITAL,TriCare or Other Federal Government,5,16,2019,"rgba(33, 89, 104, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Medicare FFS,6,16,2018,"rgba(99, 37, 35, 1.0)"
ST JOSEPHS HOSPITAL,Veterans Affairs,8,16,2018,"rgba(85, 142, 213, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Medicare FFS,7,16,2020,"rgba(55, 96, 146, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicare Managed Care,5,15,2018,"rgba(230, 185, 184, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,TriCare or Other Federal Government,2,15,2016,"rgba(185, 205, 229, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Workers' Compensation,1,14,2016,"rgba(228, 108, 10, 1.0)"
LEE MEMORIAL HOSPITAL,Workers' Compensation,5,14,2018,"rgba(33, 89, 104, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Workers' Compensation,2,14,2019,"rgba(230, 185, 184, 1.0)"
ST MARY'S MEDICAL CENTER,Medicare FFS,3,14,2018,"rgba(16, 37, 63, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Other,7,14,2020,"rgba(55, 96, 146, 1.0)"
ADVENTHEALTH ORLANDO,Veterans Affairs,6,13,2019,"rgba(195, 214, 155, 1.0)"
ADVENTHEALTH ORLANDO,Workers' Compensation,7,13,2018,"rgba(195, 214, 155, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicare FFS,5,13,2019,"rgba(204, 193, 218, 1.0)"
LEE MEMORIAL HOSPITAL,Other State/Local Government,2,13,2019,"rgba(33, 89, 104, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Workers' Compensation,4,13,2020,"rgba(230, 185, 184, 1.0)"
UF HEALTH SHANDS HOSPITAL,Other,6,13,2017,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS HOSPITAL,Veterans Affairs,8,13,2020,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS HOSPITAL,Workers' Compensation,4,13,2016,"rgba(55, 96, 146, 1.0)"
ADVENTHEALTH ORLANDO,Workers' Compensation,6,12,2019,"rgba(195, 214, 155, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Other,6,12,2018,"rgba(79, 98, 40, 1.0)"
JACKSON MEMORIAL HOSPITAL,Workers' Compensation,3,12,2020,"rgba(74, 69, 42, 1.0)"
LEE MEMORIAL HOSPITAL,Other State/Local Government,7,12,2016,"rgba(33, 89, 104, 1.0)"
ST MARY'S MEDICAL CENTER,Other,4,12,2020,"rgba(16, 37, 63, 1.0)"
ST MARY'S MEDICAL CENTER,Workers' Compensation,5,12,2017,"rgba(16, 37, 63, 1.0)"
ADVENTHEALTH ORLANDO,Medicare Managed Care,2,11,2016,"rgba(195, 214, 155, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicare FFS,7,11,2018,"rgba(79, 98, 40, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicare Managed Care,5,11,2019,"rgba(74, 69, 42, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,Medicaid FFS,5,11,2018,"rgba(185, 205, 229, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Kidcare,3,11,2019,"rgba(85, 142, 213, 1.0)"
ST MARY'S MEDICAL CENTER,Medicare Managed Care,4,11,2020,"rgba(16, 37, 63, 1.0)"
ST MARY'S MEDICAL CENTER,Veterans Affairs,6,11,2016,"rgba(16, 37, 63, 1.0)"
UF HEALTH SHANDS HOSPITAL,Workers' Compensation,6,11,2019,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Other State/Local Government,2,11,2019,"rgba(55, 96, 146, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Other,2,11,2018,"rgba(152, 72, 7, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Non-Payment,2,10,2016,"rgba(79, 98, 40, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Veterans Affairs,4,10,2016,"rgba(79, 98, 40, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Other,3,10,2017,"rgba(204, 193, 218, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Workers' Compensation,4,10,2018,"rgba(204, 193, 218, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Veterans Affairs,4,10,2018,"rgba(228, 108, 10, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicare Managed Care,4,10,2018,"rgba(74, 69, 42, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,TriCare or Other Federal Government,5,10,2017,"rgba(185, 205, 229, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Medicare FFS,1,9,2016,"rgba(64, 49, 82, 1.0)"
ST JOSEPHS HOSPITAL,Workers' Compensation,1,9,2020,"rgba(85, 142, 213, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Other State/Local Government,5,9,2017,"rgba(55, 96, 146, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicare Managed Care,4,8,2019,"rgba(79, 98, 40, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Other State/Local Government,2,8,2016,"rgba(79, 98, 40, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Other,2,8,2019,"rgba(152, 72, 7, 1.0)"
JACKSON MEMORIAL HOSPITAL,Workers' Compensation,2,8,2019,"rgba(74, 69, 42, 1.0)"
ST JOSEPHS HOSPITAL,Workers' Compensation,4,8,2019,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Other,1,8,2018,"rgba(85, 142, 213, 1.0)"
ST MARY'S MEDICAL CENTER,Medicare Managed Care,4,8,2018,"rgba(16, 37, 63, 1.0)"
TAMPA GENERAL HOSPITAL,Medicare Managed Care,3,8,2016,"rgba(89, 89, 89, 1.0)"
UF HEALTH SHANDS HOSPITAL,Other,2,8,2018,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Medicare Managed Care,1,8,2020,"rgba(55, 96, 146, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Non-Payment,1,7,2017,"rgba(79, 98, 40, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Workers' Compensation,3,7,2020,"rgba(204, 193, 218, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Workers' Compensation,2,7,2019,"rgba(64, 49, 82, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicare FFS,2,7,2017,"rgba(228, 108, 10, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicare FFS,3,7,2019,"rgba(228, 108, 10, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicare Managed Care,2,7,2017,"rgba(74, 69, 42, 1.0)"
LEE MEMORIAL HOSPITAL,TriCare or Other Federal Government,3,7,2020,"rgba(33, 89, 104, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Other,2,7,2017,"rgba(99, 37, 35, 1.0)"
ST JOSEPHS HOSPITAL,Kidcare,5,7,2019,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL,Medicare Managed Care,1,7,2019,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL,Veterans Affairs,2,7,2020,"rgba(85, 142, 213, 1.0)"
ST MARY'S MEDICAL CENTER,Non-Payment,2,7,2019,"rgba(16, 37, 63, 1.0)"
ST MARY'S MEDICAL CENTER,Workers' Compensation,3,7,2020,"rgba(16, 37, 63, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Medicare FFS,4,7,2020,"rgba(152, 72, 7, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Medicare Managed Care,1,7,2020,"rgba(152, 72, 7, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicare Managed Care,2,6,2018,"rgba(79, 98, 40, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Other,1,6,2019,"rgba(64, 49, 82, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicare Managed Care,2,6,2019,"rgba(228, 108, 10, 1.0)"
JACKSON MEMORIAL HOSPITAL,Veterans Affairs,2,6,2019,"rgba(74, 69, 42, 1.0)"
ST JOSEPHS HOSPITAL,Medicare FFS,2,6,2018,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL,Veterans Affairs,3,6,2019,"rgba(85, 142, 213, 1.0)"
ST MARY'S MEDICAL CENTER,Veterans Affairs,3,6,2017,"rgba(16, 37, 63, 1.0)"
TAMPA GENERAL HOSPITAL,Workers' Compensation,4,6,2017,"rgba(89, 89, 89, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Other,1,6,2019,"rgba(55, 96, 146, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Kidcare,1,5,2017,"rgba(152, 72, 7, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicare Managed Care,1,5,2016,"rgba(152, 72, 7, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicare Managed Care,1,5,2020,"rgba(152, 72, 7, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicare Managed Care,1,5,2016,"rgba(228, 108, 10, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Other State/Local Government,1,5,2019,"rgba(228, 108, 10, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Workers' Compensation,2,5,2019,"rgba(228, 108, 10, 1.0)"
LEE MEMORIAL HOSPITAL,Other State/Local Government,1,5,2018,"rgba(33, 89, 104, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Workers' Compensation,1,5,2016,"rgba(230, 185, 184, 1.0)"
ST JOSEPHS HOSPITAL,Other,2,5,2016,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Medicare Managed Care,3,5,2016,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Medicare Managed Care,1,5,2020,"rgba(85, 142, 213, 1.0)"
ST MARY'S MEDICAL CENTER,Medicare Managed Care,2,5,2017,"rgba(16, 37, 63, 1.0)"
TAMPA GENERAL HOSPITAL,Medicare Managed Care,1,5,2017,"rgba(89, 89, 89, 1.0)"
TAMPA GENERAL HOSPITAL,Medicare Managed Care,2,5,2019,"rgba(89, 89, 89, 1.0)"
TAMPA GENERAL HOSPITAL,Non-Payment,16,5,2016,"rgba(89, 89, 89, 1.0)"
TAMPA GENERAL HOSPITAL,Non-Payment,12,5,2017,"rgba(89, 89, 89, 1.0)"
TAMPA GENERAL HOSPITAL,Veterans Affairs,2,5,2020,"rgba(89, 89, 89, 1.0)"
UF HEALTH SHANDS HOSPITAL,Workers' Compensation,3,5,2020,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Medicare FFS,1,5,2016,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Other State/Local Government,1,5,2018,"rgba(55, 96, 146, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicare Managed Care,2,4,2020,"rgba(79, 98, 40, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Other,1,4,2019,"rgba(79, 98, 40, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Other State/Local Government,4,4,2020,"rgba(79, 98, 40, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicare Managed Care,1,4,2019,"rgba(204, 193, 218, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicare Managed Care,1,4,2017,"rgba(152, 72, 7, 1.0)"
JACKSON MEMORIAL HOSPITAL,Veterans Affairs,1,4,2016,"rgba(74, 69, 42, 1.0)"
JACKSON MEMORIAL HOSPITAL,Workers' Compensation,1,4,2017,"rgba(74, 69, 42, 1.0)"
LEE MEMORIAL HOSPITAL,Other State/Local Government,2,4,2017,"rgba(33, 89, 104, 1.0)"
LEE MEMORIAL HOSPITAL,TriCare or Other Federal Government,4,4,2017,"rgba(33, 89, 104, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicare Managed Care,2,4,2016,"rgba(230, 185, 184, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Workers' Compensation,2,4,2018,"rgba(230, 185, 184, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Other State/Local Government,1,4,2017,"rgba(147, 205, 221, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Workers' Compensation,1,4,2017,"rgba(147, 205, 221, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,TriCare or Other Federal Government,1,4,2019,"rgba(185, 205, 229, 1.0)"
ST MARY'S MEDICAL CENTER,Medicare FFS,1,4,2019,"rgba(16, 37, 63, 1.0)"
ST MARY'S MEDICAL CENTER,Veterans Affairs,2,4,2019,"rgba(16, 37, 63, 1.0)"
ST MARY'S MEDICAL CENTER,Veterans Affairs,2,4,2020,"rgba(16, 37, 63, 1.0)"
UF HEALTH SHANDS HOSPITAL,Other,3,4,2019,"rgba(55, 96, 146, 1.0)"
ADVENTHEALTH ORLANDO,Other,2,3,2020,"rgba(195, 214, 155, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Non-Payment,1,3,2018,"rgba(79, 98, 40, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicare Managed Care,1,3,2016,"rgba(204, 193, 218, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicare Managed Care,1,3,2018,"rgba(152, 72, 7, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Workers' Compensation,1,3,2016,"rgba(152, 72, 7, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Other State/Local Government,2,3,2017,"rgba(228, 108, 10, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Other State/Local Government,2,3,2018,"rgba(228, 108, 10, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Workers' Compensation,1,3,2018,"rgba(228, 108, 10, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Other,1,3,2016,"rgba(99, 37, 35, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Other,1,3,2020,"rgba(99, 37, 35, 1.0)"
ST JOSEPHS HOSPITAL,Kidcare,1,3,2020,"rgba(85, 142, 213, 1.0)"
ST MARY'S MEDICAL CENTER,Non-Payment,1,3,2016,"rgba(16, 37, 63, 1.0)"
TAMPA GENERAL HOSPITAL,Non-Payment,13,3,2018,"rgba(89, 89, 89, 1.0)"
TAMPA GENERAL HOSPITAL,Workers' Compensation,2,3,2016,"rgba(89, 89, 89, 1.0)"
UF HEALTH SHANDS HOSPITAL,Medicare Managed Care,1,3,2017,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS HOSPITAL,Other,2,3,2020,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Medicare FFS,1,3,2017,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Medicare FFS,1,3,2019,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Veterans Affairs,1,3,2017,"rgba(55, 96, 146, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Other,1,2,2016,"rgba(79, 98, 40, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Other State/Local Government,1,2,2017,"rgba(79, 98, 40, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Workers' Compensation,1,2,2017,"rgba(79, 98, 40, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicare FFS,1,2,2020,"rgba(204, 193, 218, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Other,2,2,2018,"rgba(204, 193, 218, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Other,1,2,2016,"rgba(152, 72, 7, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Workers' Compensation,1,2,2018,"rgba(152, 72, 7, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicare Managed Care,1,2,2018,"rgba(228, 108, 10, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Veterans Affairs,1,2,2019,"rgba(228, 108, 10, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Workers' Compensation,1,2,2017,"rgba(228, 108, 10, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicare Managed Care,1,2,2020,"rgba(74, 69, 42, 1.0)"
JACKSON MEMORIAL HOSPITAL,Veterans Affairs,1,2,2017,"rgba(74, 69, 42, 1.0)"
LEE MEMORIAL HOSPITAL,TriCare or Other Federal Government,1,2,2016,"rgba(33, 89, 104, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Other,1,2,2018,"rgba(99, 37, 35, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,Medicaid FFS,1,2,2019,"rgba(185, 205, 229, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,TriCare or Other Federal Government,2,2,2018,"rgba(185, 205, 229, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Other,1,2,2016,"rgba(85, 142, 213, 1.0)"
ST MARY'S MEDICAL CENTER,Medicare Managed Care,1,2,2016,"rgba(16, 37, 63, 1.0)"
TAMPA GENERAL HOSPITAL,Medicare Managed Care,1,2,2020,"rgba(89, 89, 89, 1.0)"
UF HEALTH SHANDS HOSPITAL,Medicare Managed Care,1,2,2020,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Other State/Local Government,2,2,2016,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Veterans Affairs,1,2,2019,"rgba(55, 96, 146, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicare Managed Care,1,1,2020,"rgba(204, 193, 218, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Workers' Compensation,1,1,2016,"rgba(204, 193, 218, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Medicare FFS,1,1,2020,"rgba(64, 49, 82, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Workers' Compensation,1,1,2017,"rgba(64, 49, 82, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Workers' Compensation,1,1,2018,"rgba(64, 49, 82, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Workers' Compensation,1,1,2017,"rgba(152, 72, 7, 1.0)"
LEE MEMORIAL HOSPITAL,Medicare FFS,1,1,2020,"rgba(33, 89, 104, 1.0)"
ST MARY'S MEDICAL CENTER,Medicare Managed Care,1,1,2019,"rgba(16, 37, 63, 1.0)"
TAMPA GENERAL HOSPITAL,Non-Payment,3,1,2019,"rgba(89, 89, 89, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Other,1,1,2016,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Other,1,1,2018,"rgba(55, 96, 146, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Other,1,1,2019,"rgba(152, 72, 7, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Other State/Local Government,1,0,2018,"rgba(79, 98, 40, 1.0)"
JACKSON MEMORIAL HOSPITAL,Workers' Compensation,1,0,2016,"rgba(74, 69, 42, 1.0)"
